price,area,bedroom,bathroom,facade,urgent,floor,district,mean_land_price_of_district,facility
5.5,51.0,1.0,1.0,0.0,0.0,3.0,TAN BINH,0.10818958685246544,0.0
4.6,45.0,2.0,2.0,1.0,0.0,2.0,PHU NHUAN,0.12307967709930681,2.0
7.35,41.0,1.0,1.0,1.0,1.0,2.0,5,0.14258525260156796,0.0
5.0,96.0,2.0,1.0,0.0,0.0,2.0,TAN PHU,0.08977856929214675,2.0
4.0,33.0,3.0,3.0,1.0,0.0,3.0,BINH THANH,0.11057247745426507,1.0
1.0,12.0,2.0,1.0,0.0,0.0,2.0,7,0.09975934773649435,0.0
8.99,85.0,7.0,3.0,1.0,1.0,2.0,TAN PHU,0.08977856929214675,0.0
7.39,53.0,4.0,4.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,1.0
4.75,50.0,3.0,1.0,1.0,0.0,1.0,BINH THANH,0.11057247745426507,2.0
5.5,40.0,1.0,1.0,0.0,0.0,4.0,TAN BINH,0.10818958685246544,0.0
6.1,57.0,4.0,3.0,1.0,1.0,4.0,TAN PHU,0.08977856929214675,2.0
5.75,55.0,1.0,1.0,0.0,1.0,3.0,TAN BINH,0.10818958685246544,1.0
5.5,35.0,1.0,1.0,1.0,0.0,4.0,TAN BINH,0.10818958685246544,0.0
4.69,31.0,4.0,3.0,0.0,0.0,3.0,TAN PHU,0.08977856929214675,0.0
8.3,80.0,4.0,5.0,1.0,1.0,3.0,9,0.0778805983721728,1.0
3.35,50.0,2.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,0.0
2.95,36.0,2.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,1.0
5.75,60.0,1.0,1.0,1.0,0.0,3.0,TAN BINH,0.10818958685246544,1.0
4.6,48.0,2.0,2.0,0.0,0.0,1.0,TAN PHU,0.08977856929214675,0.0
5.1,60.0,3.0,2.0,0.0,1.0,2.0,3,0.11497351452777377,1.0
4.55,48.0,4.0,5.0,1.0,0.0,4.0,BINH TAN,0.0799054007556501,1.0
3.35,35.0,2.0,2.0,0.0,1.0,2.0,THU DUC,0.07739925980445196,0.0
8.6,75.0,2.0,1.0,1.0,0.0,4.0,6,0.0926808936585497,0.0
8.6,75.0,2.0,1.0,1.0,0.0,4.0,TAN PHU,0.08977856929214675,0.0
4.3,50.0,4.0,3.0,1.0,1.0,3.0,7,0.09975934773649435,3.0
4.7,50.0,3.0,2.0,1.0,0.0,2.0,GO VAP,0.10348560001584498,1.0
6.25,42.0,3.0,3.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,0.0
5.0,44.0,2.0,2.0,0.0,0.0,2.0,10,0.1246569785410537,0.0
7.5,85.0,2.0,2.0,0.0,0.0,2.0,GO VAP,0.10348560001584498,0.0
5.38,80.0,4.0,4.0,0.0,1.0,3.0,BINH TAN,0.0799054007556501,0.0
4.3,40.0,3.0,2.0,0.0,0.0,1.0,BINH THANH,0.11057247745426507,0.0
5.7,96.0,1.0,1.0,1.0,1.0,1.0,TAN PHU,0.08977856929214675,0.0
3.4,57.0,3.0,3.0,1.0,0.0,2.0,11,0.11410860554881458,1.0
3.4,57.0,3.0,3.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,1.0
7.0,55.0,4.0,5.0,1.0,0.0,4.0,GO VAP,0.10348560001584498,3.0
6.1,82.0,4.0,2.0,1.0,1.0,2.0,TAN BINH,0.10818958685246544,0.0
5.78,37.0,5.0,6.0,0.0,0.0,4.0,BINH THANH,0.11057247745426507,0.0
2.4,40.0,2.0,2.0,1.0,1.0,2.0,THU DUC,0.07739925980445196,1.0
6.6,65.0,6.0,5.0,0.0,0.0,1.0,12,0.06605619406752164,2.0
6.5,68.0,4.0,5.0,1.0,0.0,4.0,BINH TAN,0.0799054007556501,0.0
2.25,28.0,1.0,1.0,0.0,1.0,2.0,9,0.0778805983721728,0.0
4.85,63.0,4.0,3.0,0.0,0.0,3.0,BINH TAN,0.0799054007556501,0.0
4.6,18.0,3.0,3.0,1.0,1.0,4.0,PHU NHUAN,0.12307967709930681,0.0
5.5,66.0,1.0,1.0,0.0,0.0,1.0,GO VAP,0.10348560001584498,4.0
4.0,61.0,1.0,1.0,0.0,0.0,1.0,TAN PHU,0.08977856929214675,0.0
4.0,61.0,1.0,1.0,1.0,0.0,4.0,TAN PHU,0.08977856929214675,0.0
5.5,100.0,3.0,2.0,1.0,0.0,2.0,TAN PHU,0.08977856929214675,0.0
