,district,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor
0,Huyện Nhà Bè,30.0,150.0,2.0,1.0,TRUE,,,,,,True,
1,Tân Bình,5.0,51.0,,,,,,,,,,3.0
2,Phú Nhuan,4.0,45.0,2.0,2.0,TRUE,True,,True,,,,2.0
3,Quận 5,,41.0,,,TRUE,,,,,,True,2.0
4,Tân Phú,5.0,96.0,,,,,True,,True,,,2.0
5,,3.5,91.0,3.0,,TRUE,,,True,,,True,3.0
6,Thủ Đức,19.0,180.0,,,TRUE,,,,True,True,True,
7,Quận 11,21.68,80.0,15.0,,TRUE,,,,,,,5.0
8,BÌNH THẠNH,4.0,33.0,3.0,3.0,TRUE,True,,,,,,3.0
9,Thủ Đức,23.5,118.0,,,TRUE,,,True,,,,
10,,3260000.0,,,,,,,,,,,
11,Quận 4,12.8,75.0,5.0,6.0,TRUE,,True,True,True,,,4.0
12,Q8,3.4,105.0,4.0,3.0,,,,,,,True,3.0
13,Q.7,1.0,24.0,2.0,,,,,,,,,2.0
14,Tân Phú,8.99,85.0,7.0,3.0,TRUE,,,,,,True,2.0
15,Gò Vấp,7.39,53.0,4.0,5.0,TRUE,,,True,,,,4.0
16,Q2,16.0,80.0,,,TRUE,,,,,,,
17,Bình Thạnh,4.0,50.0,3.0,,TRUE,,True,,True,,,
18,Tân Bình,5.0,40.0,,,,,,,,,,4.0
19,Bình Thạnh,9.39,80.0,5.0,5.0,,,,,,,,
20,Q2,15.8,80.0,,,TRUE,,,,,,True,4.0
21,Tân Phú,6.1,57.0,4.0,3.0,TRUE,,True,,True,,True,4.0
22,Tân Bình,5.0,55.0,,,,,True,,,,True,3.0
23,Tân Bình,,35.0,,,TRUE,,,,,,,4.0
24,TÂN PHÚ,4.69,31.0,4.0,3.0,,,,,,,,3.0
25,Quận 9,8.3,80.0,4.0,5.0,TRUE,,,,,True,True,3.0
26,Q2,14.5,71.5,,,TRUE,,,,,,,
27,Quận 8,15.2,75.0,5.0,6.0,TRUE,,,,,,,3.0
28,,,,,,,,,,,,True,
29,Quận 8,13.0,75.0,5.0,3.0,TRUE,True,True,True,,,,2.0
30,Tp. Thủ Đức,25.0,215.0,18.0,,,,,,,,,5.0
31,Tp. Thủ Đức,25.0,215.0,,,,,,,,,,
32,Tân Phú,3.35,50.72,2.0,2.0,TRUE,,,,,,,2.0
33,Gò Vấp,9.9,94.0,3.0,4.0,TRUE,,,,,,,3.0
34,,2.95,,2.0,2.0,TRUE,,,True,,,,2.0
35,Phú Nhận,7.0,55.0,5.0,5.0,TRUE,True,,True,,,,4.0
36,Thủ Đức,14.0,227.0,20.0,,,,False,,True,,True,
37,,4000000.0,,,,,,,,,,,
38,Tân Bình,5.0,60.0,,,TRUE,True,,,,,,3.0
39,Tân Phú,4.6,48.0,2.0,2.0,,,,,,,,
40,Quận 3,5.0,60.0,3.0,,,,True,,,,True,2.0
41,Gò Vấp,9.7,58.0,4.0,,,True,True,True,,,,5.0
42,Bình Tân,4.55,48.0,4.0,4.0,TRUE,,,True,,,,4.0
43,Q2,16.0,80.0,,,TRUE,,,,,,True,4.0
44,Quận Hiệp Bình Chánh,3.35,33.0,,,,,,,,,True,2.0
45,Quận 6,8.6,75.0,2.0,,TRUE,,,,,,,4.0
46,Tân Phú,8.6,75.0,2.0,,TRUE,,,,,,,4.0
47,Quận 7,,52.0,4.0,,TRUE,True,True,,,True,True,3.0
48,Gò Vấp,10.9,57.0,3.0,,,,True,,,True,,5.0
49,Bình Tân,13.5,300.0,,,,,,,,,True,4.0
50,,,,,,,,,,,,,
51,,4.9,,,,,,True,True,,,,5.0
52,Gò Vấp,4.7,50.0,3.0,2.0,TRUE,,True,,,,,2.0
53,Gò Vấp,6.25,42.0,3.0,3.0,TRUE,,,,,,,4.0
54,Q.10,5.0,88.0,,2.0,,,False,,,,,2.0
55,Thông Tứ Tung,7.5,85.0,,,,,,,,,,2.0
56,Bình Tân,5.38,80.0,4.0,1.0,,,,,,,True,3.0
57,Tân Phú,,,4.0,,,,,,,,True,4.0
58,TP Thủ Đức,9.0,121.0,,,TRUE,,,,,,True,
59,Quận Tân Bình,,,,,,,,,,,,
60,Quận Bình Thạnh,,40.0,3.0,2.0,,,,,,,,
61,Thủ Đức,15.5,220.6,6.0,4.0,TRUE,,,True,,,True,
62,Tân Phú,8.9,61.0,5.0,5.0,TRUE,,,,,,,5.0
63,Tân Phú,5.7,96.0,,,TRUE,,,,,,True,1.0
64,Quận 11,3.4,57.0,3.0,3.0,TRUE,,True,,,,,2.0
65,Tân Phú,3.4,,3.0,3.0,TRUE,,True,,,,,2.0
66,Gò Vấp,7.0,55.0,4.0,5.0,TRUE,True,True,True,,,,4.0
67,,,400.0,,,,True,True,True,,,,
68,Tân Bình,6.1,82.0,4.0,2.0,TRUE,,,,,,True,2.0
69,Tân Bình,6.1,82.0,4.0,2.0,TRUE,,,,,,True,2.0
70,Tân Bình,6.1,82.0,4.0,2.0,TRUE,,,,,,True,2.0
71,Bình Thạnh,,36.5,5.0,6.0,,,,,,,,4.0
72,Thủ Đức,2.4,40.0,2.0,2.0,TRUE,,True,,,,True,2.0
73,,25.0,72.0,,,TRUE,,,,,,,3.0
74,,25.0,72.0,,,TRUE,,,,,,,3.0
75,Phú Nhuận,2.0,,2.0,2.0,TRUE,True,,,,,,3.0
76,Quận 12,6.6,65.0,6.0,5.0,,,True,True,,,,
77,BÌNH TÂN,6.5,67.5,4.0,5.0,TRUE,,,,,,,4.0
78,Tân Bình,2750000.0,,,,,,,,,,,
79,Quận 9,2250000000.0,28.0,1.0,,,,,,,,True,2.0
80,BÌNH TÂN,4.85,64.0,4.0,3.0,,,,,,,,3.0
81,Phú Nhuận,4.0,18.0,3.0,3.0,TRUE,,,,,,True,4.0
82,,,,,,,,,,,,,
83,Gò Vấp,5.5,66.0,,,,True,True,True,,True,,
84,Tân Phú,4.0,62.0,,,,,,,,,,
85,Tân Phú,4.0,62.0,,,TRUE,,,,,,,4.0
86,UB Quận,5.5,100.0,3.0,2.0,TRUE,,,,,,,2.0
87,Quận,5.5,100.0,3.0,2.0,TRUE,,,,,,,2.0
88,Bình Thạnh,5.0,45.0,3.0,3.0,TRUE,True,,True,True,,,3.0
89,Tp Thủ Đức,28.5,147.0,,,TRUE,True,True,,,,True,4.0
90,,,,,,,,,,,,,
91,Quận 10,8.71,83.25,4.0,5.0,,True,,True,,,,3.0
92,,5.9,65.0,3.0,4.0,TRUE,,,True,,,,3.0
93,Quận 8,5.48,43.0,2.0,3.0,,,,,,,,3.0
94,Quận 8,12.0,80.0,5.0,4.0,TRUE,True,True,True,,True,,3.0
95,Tân Phú,16680000000.0,120.0,,,TRUE,,,,,,True,5.0
96,Gò Vấp,4680.0,37.0,4.0,,,,True,,,,,4.0
97,Quận,5.8,52.0,5.0,,,True,True,True,,,,4.0
98,Quận Phú Nhuận,3.65,,2.0,2.0,TRUE,,,,,,,3.0
99,Quận Bình Thạnh,3.7,26.0,2.0,3.0,TRUE,,,,,,,3.0
100,Bình Tân,6.0,68.0,5.0,6.0,TRUE,,,,,,True,4.0
101,,10.9,101.0,,,TRUE,,,,,,True,
102,,10.9,101.0,,,TRUE,,,,,,True,
103,,14.8,95.0,5.0,6.0,TRUE,,True,True,,,True,4.0
104,Quận Bình Thạnh,5.0,50.0,5.0,6.0,TRUE,,,True,True,,,5.0
105,Quận Tân Bình,5.0,40.0,,,,,,,,,True,3.0
106,,,,,,,,,,,,,
107,"Q11, TÂN BÌNH",4.2,49.0,6.0,4.0,TRUE,,,,,,,4.0
108,Quận Tân Bình,5.0,6.0,,,TRUE,,True,,,,,4.0
109,Tân Phú,3.3,36.0,3.0,,,,,,,,True,2.0
110,Gò Vấp,5.2,57.0,3.0,2.0,TRUE,,True,,,,,2.0
111,Tân Bình,,,,,,,,,,,True,4.0
112,Tân Bình,,,,,,,,,,,True,4.0
113,,3.8,,2.0,3.0,,,True,,,True,,4.0
114,Quận 3,100000000.0,65.0,3.0,3.0,,,,,,,,4.0
115,Tân Bình,,,,,,,True,,,True,,3.0
116,Tân Phú,3.29,31.0,2.0,,,,,,,,,3.0
117,Tân Phú,3.29,31.0,2.0,,,,,,,,,3.0
118,Tân Phú,8.6,75.0,2.0,,TRUE,,,,,True,True,4.0
119,Tân Bình,2.0,,2.0,2.0,,,,,,,,3.0
120,Quận Bình Tân,3.7,89.0,,,TRUE,True,True,True,,True,True,5.0
121,Tây Thạnh,4.0,60.0,2.0,,TRUE,,,,,,,2.0
122,,,,,,,,,,,,,
123,,,,,,,,,,,,,
124,Gò Vấp,5.1,4.0,4.0,,TRUE,,,True,,True,,3.0
125,Quận 11,4.0,55.0,3.0,,TRUE,True,True,,,,,
126,Thủ Đức,7.0,178.0,3.0,3.0,,,,,,,True,2.0
127,Q,1.6,48.0,1.0,1.0,,,,,,,,
128,Q12,4.8,107.0,3.0,3.0,TRUE,,,,,,,2.0
