description_title,price,area,bedroom,bathroom,address
"Chưa tới 30tr/m2 - Hàng ngộp bank BAO ĐẦU TƯ - HẠ CHÀO 1.1 TỶ

Mô tả: 
+ Thông số cực đẹp 5 x 30m (150m2)
+ Nhà cấp 4, 2PN, toilet, phòng khách, bếp, sân sau trồng cây.
+ Nhà gần sát Mặt tiền, hẻm nhựa xe hơi tránh.
+ Khu vực tập trung nhiều Khu dân cư, các Dự án lớn, thu hút đông đảo các Nhà Đầu Tư lớn, Huyện Nhà Bè hướng đến mục tiêu trở thành Thành phố trực thuộc TP.Hồ Chí Minh.
+ Giá chưa tới 30tr/m2 bao đầu tư.
+ Sổ đang vay bank 2.2 tỷ, pháp lý chuẩn, chủ cần bán gấp.
☎️   Thiện chí alo em Hiền gặp chính chủ thương lượng, miễn trung gian.
",3899000000.0,150.0,2.0,1.0,THÀNH PHỐ HỒ CHÍ MINH
"Bán nhà HXH Âu Cơ Phường 9 Tân Bình, 51m2 3 Tầng, giá 5 tỷ nhỉnh

Bán nhà HXH Âu Cơ Phường 9 Tân Bình, 51m2 3 Tầng, giá 5 tỷ nhỉnh
+ DT 51m2 cực to cứng nhất khu
+ Kết cấu: 3 Tầng đẹp nhứt nách
+ Hẻm xe hơi mát mẻ an ninh
+ Sổ đẹp hoàn công đủ
+ Hẻm Âu Cơ thông Trần Văn Quang tiện di chuyển đường Bàu Cát, đường Ni Sư Huỳnh Liên, đường Hồng Lạc, Đường Lạc Long Quân, 1 phút ra chợ vải Tân Bình, 5 phút đi qua cư xá Lữ Gia, cư xá Bắc Hải, Quận 10, Quận 1.
",5.5,51.0,,,ÂU CƠ PHƯỜNG 9 TÂN BÌNH
"SÁT MẶT TIỀN PHAN ĐĂNG LƯU, PHƯỜNG 7, PHÚ NHUẬN, 2 TẦNG BTCT, 45M2, 4.x TỶ

- Kết cấu: 1 trệt 1 lầu BTCT; 2 PN, 2 WC. Phòng khách, bếp, ban công bao rộng
- Đường đi sạch sẽ, an ninh, yên tĩnh. Khu vực Phan Xích Long, Phan Đăng Lưu
- Gần CoopMart, BV Hoàn Mỹ, phố ẩm thực, công an phường
- Sổ hồng chính chủ, hoàn công đủ, pháp lý chuẩn, công chứng mua bán ngay
",4.6,45.0,2.0,2.0,
"CHỦ GẤP BÁN TRƯỚC TẾT LÊ HỒNG PHONG QUẬN 5 RA MẶT TIỀN ĐƯỜNG 15M

Mô tả:
- Diện tích công nhận 41m, thực tế 66m ngang 3.3m.
- Kết cấu 2 tầng thông sàn, đang cho thuê 15tr/tháng.
- Vị trí trung tâm Quận 5, sát Quận 1, Quận 10.
- Pháp lý sạch sẽ sẽ, sổ vuông vức, hoàn công đủ, công chứng ngay.
",7.35,41.0,,,LÊ HỒNG PHONG PHƯỜNG 2 QUẬN 5
"LŨY BÁN BÍCH,TÂN PHÚ-DIỆN TÍCH KHỦNG 96M2 ( 4.3*22.5M) CHỈ 5TỶX

- Diện tích 96m2 ngang 4.3m dài 22.5m .
- sổ vuông vức, thuận tiện xây mới, phù hợp xay dựng căn hộ dịch vụ với doanh thu cao vì gần khu dân cư, trường đại học các cấp...
- Kết cấu nhà 1 trệt, 1 lửng thông suốt , đang làm kho chứa vải
- Vị tri cách mặt tiền chỉ 30m, hẻm rộng sạch sẽ, xe tải nhỏ vào được
- Pháp lý rõ ràng, hoàn công đủ , công chứng ngay .
☎️ Lh: 0898992121 TRANG để xem nhà trực tiếp
",0.0,96.0,2.0,1.0,
"✅ BÁN NHÀ MỚI ĐẸP 7 X 13, CHỈ 3.5 TỶ, HẺM XE HƠI. CHỐT

✅ BÁN NHÀ MỚI ĐẸP 7 X 13, CHỈ 3.5 TỶ, HẺM XE HƠI. CHỐT
✅ 7 x 13, 1 trệt 2 lầu, hoàn công đầu đủ, 3 phòng ngủ. 
????????Hẻm xe hơi, khu dân yên tĩnh, hàng xóm thân thiện. 
????Vị trí khá Vị trí, đường số 9, nằm giữa Ql1k và đường số 11, đi lại khắp nơi. 
✅Gần trung tâm thương mại, chợ Linh Xuân. 
Sổ ở nhà, mang khách qua là chốt.
☎️ 0338947066
",0.0,,3.0,3.0,
"Bán Nhà Mặt tiền đường Kha Vạn Cân, P. Linh Đông, dt 180m2 giá 19 tỷ TL

Bán Nhà Mặt tiền đường Kha Vạn Cân, P. Linh Đông, dt 180m2 giá 19 tỷ TL
- Vị trí sát đường Phạm Văn Đồng, chợ Thủ Đức, con đường kinh doanh sầm uất, đa ngành nghề.
- Vị trí Đẹp Thuận Tiện Xây Toà Nhà Vp, Cty, Chdv Cao Cấp, Ngay Trường Cao Đẳng Vinatex, dễ dàng di chuyển các hướng........
- Diện tích: 180m2  ( 6,3m x 28,5m ) Thổ cư 100% 
- Giá bán : 19 tỷ ( thương lượng )
- Hiện tại chủ Đang Cho thuê 40triệu/tháng 
Liên Hệ Em Long 0898 408 677 để được xem và mua nhanh nhất!! Mong tiếp khách thiện chí
",19.0,180.0,,,"ĐƯỜNG KHA VẠN CÂN, PHƯỜNG LINH ĐÔNG, QUẬN THỦ ĐỨC, TP HCM"
"Trương Đức Toàn

+-QUẬN 11- MẶT TIỀN 3/2,  KINH DOANH SẦM UẤT- KHU VỰC VIP, GIÁ RẺ.
-NHÀ RỘNG 4X20M 1 HẦM 5 TẦNG, TẦNG THƯỢNG. CÓ 15 PHÒNG . PHÙ HỢP LÀM CĂN HỘ DỊCH VỤ HOẶC CÔNG TY KINH DOANH. 
✅ Chỉ 21 t.y 68 TLcc. Pháp lý chuẩn.
☎️Zalo.0938059388.Nha Phố SG.
#nhaphosaigon,#quan11,#Đường 3-2, #mattien,#kinhdoanh, #tphcm.
-Vị trí TT Quận 11, Trục Đường 3/2, MTKD đỉnh, Cho thuê thu nhập 100tr.th.
+ Pháp lý đầy đủ, sổ tại gia, công chứng ngay.
",21.8,80.0,8.0,8.0,THÀNH PHỐ HỒ CHÍ MINH
"SÁT MẶT TIỀN BẠCH ĐẰNG, PHƯỜNG 14, BÌNH THẠNH, 3 TẦNG BTCT, 33M2, 4.x TỶ

- Hiện có dòng tiền 15 triệu/tháng 
- Kết cấu: 1 trệt 2 lầu BTCT; 3 PN, 3 WC
- Đường đi an ninh, sạch sẽ. Khu vực Bạch Đằng, Lê Quang Định, chợ Bà Chiểu
- Gần BV Gia Định, UBND quận, công an phường; tiện ích đầy đủ
- Sổ hồng chính chủ, hoàn công đủ, pháp lý chuẩn, công chứng mua bán ngay
",4.0,33.0,3.0,3.0,
"Bán nhà 2 mặt tiền đường Phạm Văn Đồng, Thủ Đức - 118m2 - full thổ cư - 23,5 tỷ

Bán nhà 2 mặt tiền đường Phạm Văn Đồng, Thủ Đức - 118m2 - full thổ cư - 23,5 tỷ
- Ngân hàng Techcombank. Cho vay đến 17tỷ lãi suất ưu đãi, khách chỉ cần số tiền còn lại.
- Bán nhà 2 mặt tiền đường Phạm Văn Đồng và Kha Vạn Cân, Phường Hiệp Bình Chánh, Thủ Đức. 
- Ví trí đẹp đối diện Trung tâm thương mại GigaMall.
- Vị trí khu vực kinh doanh sầm uất, tấp nập. Thích hợp xây cao ốc, văn phòng, khách sạn, showroom hoặc kinh doanh buôn bán …….
- Hiện đang cho thuê 30tr/tháng.
- Hướng : Bắc - Nam
- Diện tích : 5,9m x 20m, full thổ cư, sổ hồng riêng.
- Giá bán:  23,5 tỷ ( thương lượng )
- Hỗ trợ vay Ngân Hàng.
Liên Hệ Em Long 0898 408 677 để được xem và mua nhanh nhất!! Mong tiếp khách thiện chí
",19.0,118.0,,,"ĐƯỜNG PHẠM VĂN ĐỒNG, PHƯỜNG HIỆP BÌNH CHÁNH, QUẬN THỦ ĐỨC, TP HCM"
