,index,price,area,bedroom,bathroom,facade,nearhospital,nearschool,nearsupermarket,nearuniversity,nearbuildings,urgent,floor,district
0,0,3.899,150.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NHA BE
1,1,5.5,51.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN BINH
2,2,4.6,45.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,PHU NHUAN
3,3,7.35,41.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5
4,4,5.0,96.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,TAN PHU
6,6,19.0,180.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,THU DUC
7,7,21.8,80.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11
8,8,4.0,33.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,BINH THANH
9,9,19.0,118.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,THU DUC
11,11,12.8,75.0,5.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4
12,12,3.4,110.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8
13,13,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7
14,14,8.99,85.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TAN PHU
15,15,7.39,53.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,GO VAP
16,16,16.0,80.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
17,17,4.75,50.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,BINH THANH
18,18,5.5,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN BINH
19,19,9.39,80.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BINH THANH
20,20,15.8,80.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2
21,21,6.1,57.0,4.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,TAN PHU
22,22,5.75,55.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,TAN BINH
23,23,5.5,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN BINH
24,24,4.69,31.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN PHU
25,25,8.3,80.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,9
26,26,14.5,71.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
27,27,15.2,75.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8
29,29,13.0,75.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8
30,30,25.0,215.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,THU DUC
31,31,25.0,215.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,THU DUC
32,32,3.35,50.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,TAN PHU
33,33,9.9,94.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,GO VAP
34,34,2.95,36.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,TAN PHU
36,36,14.0,227.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,THU DUC
38,38,5.75,60.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,TAN BINH
39,39,4.6,48.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TAN PHU
40,40,5.1,60.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3
41,41,9.7,58.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,GO VAP
42,42,4.55,48.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,BINH TAN
43,43,16.0,80.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2
44,44,3.35,35.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,THU DUC
45,45,8.6,75.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6
46,46,8.6,75.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,TAN PHU
47,47,4.3,50.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,7
48,48,10.9,57.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,GO VAP
49,49,13.5,300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,BINH TAN
51,51,4.9,56.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,TAN BINH
52,52,4.7,50.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,GO VAP
53,53,6.25,42.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,GO VAP
54,54,5.0,44.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10
55,55,7.5,85.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,GO VAP
56,56,5.38,80.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,BINH TAN
57,57,9.3,80.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,TAN PHU
58,58,9.0,121.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,THU DUC
60,60,4.3,40.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,BINH THANH
61,61,15.5,220.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,THU DUC
62,62,8.9,61.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,TAN PHU
63,63,5.7,96.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,TAN PHU
64,64,3.4,57.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11
65,65,3.4,57.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,TAN PHU
66,66,7.0,55.0,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,GO VAP
68,68,6.1,82.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,TAN BINH
